Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
Kevin Durant,2022-23,2TM,PF,29.1,6.7,5.0,0.7,1.4,3.3,6.5,0.56,0.404,0.617,0.919,0.677,7.1,6.0,1.2,25.9,6.8
Stephen Curry,2022-23,GSW,PG,29.4,6.1,6.3,0.9,0.4,3.2,4.6,0.493,0.427,0.579,0.915,0.656,7.5,7.5,0.1,24.1,7.8
Nikola Jokić,2022-23,DEN,C,24.5,11.8,9.8,1.3,0.7,3.6,4.9,0.632,0.383,0.675,0.822,0.701,13.0,8.5,4.5,31.5,14.9
Giannis Antetokounmpo,2022-23,MIL,PF,31.1,11.8,5.7,0.8,0.8,3.9,7.9,0.553,0.275,0.596,0.645,0.605,8.5,5.8,2.7,29.0,8.6
Joel Embiid,2022-23,PHI,C,33.1,10.2,4.2,1.0,1.7,3.4,10.0,0.548,0.33,0.587,0.857,0.655,9.2,6.8,2.3,31.4,12.3
Kawhi Leonard,2022-23,LAC,SF,23.8,6.5,3.9,1.4,0.5,1.7,4.7,0.512,0.416,0.551,0.871,0.623,6.1,5.1,0.9,23.9,7.1
James Harden,2022-23,PHI,PG,21.0,6.1,10.7,1.2,0.5,3.4,5.4,0.441,0.385,0.495,0.867,0.607,5.4,5.1,0.3,21.6,8.4
Russell Westbrook,2022-23,2TM,PG,15.9,5.8,7.5,1.0,0.5,3.5,2.8,0.436,0.311,0.487,0.656,0.513,0.2,0.3,-0.1,16.1,1.9
Jayson Tatum,2022-23,BOS,SF,30.1,8.8,4.6,1.1,0.7,2.9,7.2,0.466,0.35,0.558,0.854,0.607,5.5,4.8,0.7,23.7,10.5
Luka Dončić,2022-23,DAL,PG,32.4,8.6,8.0,1.4,0.5,3.6,7.8,0.496,0.342,0.588,0.742,0.609,8.9,7.6,1.4,28.7,10.2
Anthony Davis,2022-23,LAL,C,25.9,12.5,2.6,1.1,2.0,2.2,6.2,0.563,0.257,0.589,0.784,0.627,6.3,4.6,1.7,27.8,9.0
Devin Booker,2022-23,PHO,SG,27.8,4.5,5.5,1.0,0.3,2.7,5.8,0.494,0.351,0.554,0.855,0.601,4.2,4.5,-0.3,22.0,6.0
Damian Lillard,2022-23,POR,PG,32.2,4.8,7.3,0.9,0.3,3.3,8.8,0.463,0.371,0.574,0.914,0.645,7.1,8.3,-1.2,26.7,9.0
Jimmy Butler,2022-23,MIA,PF,22.9,5.9,5.3,1.8,0.3,1.6,7.4,0.539,0.35,0.564,0.85,0.647,8.7,6.7,2.0,27.6,12.3
Kyrie Irving,2022-23,2TM,SG,27.1,5.1,5.5,1.1,0.8,2.1,4.1,0.494,0.379,0.574,0.905,0.613,4.1,4.8,-0.7,22.4,7.4
Paul George,2022-23,LAC,SF,23.8,6.1,5.1,1.5,0.4,3.1,4.6,0.457,0.371,0.521,0.871,0.588,2.8,2.4,0.3,19.6,4.6
Chris Paul,2022-23,PHO,PG,13.9,4.3,8.9,1.5,0.4,1.9,2.3,0.44,0.375,0.482,0.831,0.555,3.2,2.0,1.2,17.7,6.2
Shai Gilgeous-Alexander,2022-23,OKC,PG,31.4,4.8,5.5,1.6,1.0,2.8,9.8,0.51,0.345,0.533,0.905,0.626,7.3,5.7,1.5,27.2,11.4
Ja Morant,2022-23,MEM,PG,26.2,5.9,8.1,1.1,0.3,3.4,6.1,0.466,0.307,0.519,0.748,0.557,5.7,5.2,0.5,23.3,6.0
Zion Williamson,2022-23,NOP,PF,26.0,7.0,4.6,1.1,0.6,3.4,6.1,0.608,0.368,0.618,0.714,0.652,5.8,4.8,1.0,25.2,3.6
LaMelo Ball,2022-23,CHO,PG,23.3,6.4,8.4,1.3,0.3,3.6,2.8,0.411,0.376,0.45,0.836,0.541,2.4,3.2,-0.8,17.9,1.8
Anthony Edwards,2022-23,MIN,SG,24.6,5.8,4.4,1.6,0.7,3.3,4.0,0.459,0.369,0.513,0.756,0.564,1.0,1.0,0.0,17.4,3.8
Tyrese Haliburton,2022-23,IND,PG,20.7,3.7,10.4,1.6,0.4,2.5,3.1,0.49,0.4,0.572,0.871,0.624,7.2,7.0,0.2,23.6,7.6
Cade Cunningham,2022-23,DET,PG,19.9,6.2,6.0,0.8,0.6,3.3,3.0,0.415,0.279,0.466,0.837,0.492,-0.7,-0.1,-0.6,14.0,-0.1
Jalen Green,2022-23,HOU,SG,22.1,3.7,3.7,0.8,0.2,2.6,4.8,0.416,0.338,0.471,0.786,0.538,-2.1,0.5,-2.6,14.5,1.8
Scottie Barnes,2022-23,TOR,SF,15.3,6.6,4.8,1.1,0.8,2.0,2.5,0.456,0.281,0.505,0.772,0.524,0.4,0.5,-0.1,15.5,5.0
Klay Thompson,2022-23,GSW,SF,21.9,4.1,2.4,0.7,0.4,1.8,1.7,0.436,0.412,0.47,0.879,0.576,-0.3,1.5,-1.7,14.7,3.1
Bradley Beal,2022-23,WAS,SG,23.2,3.9,5.4,0.9,0.7,2.9,3.8,0.506,0.365,0.552,0.842,0.593,1.8,2.9,-1.2,19.7,3.4
DeMar DeRozan,2022-23,CHI,SF,24.5,4.6,5.1,1.1,0.5,2.1,6.2,0.504,0.324,0.526,0.872,0.592,2.0,1.7,0.3,20.6,8.5
Mike Conley,2022-23,2TM,PG,11.9,2.7,6.7,1.1,0.2,1.5,2.1,0.428,0.385,0.486,0.834,0.583,0.9,1.0,-0.1,14.7,5.5
Julius Randle,2022-23,NYK,PF,25.1,10.0,4.1,0.6,0.3,2.8,5.2,0.459,0.343,0.553,0.757,0.581,3.7,3.9,-0.2,20.3,8.1
Jaylen Brown,2022-23,BOS,SF,26.6,6.9,3.5,1.1,0.4,2.9,3.9,0.491,0.335,0.576,0.765,0.581,1.3,1.5,-0.2,19.1,5.0
Jrue Holiday,2022-23,MIL,PG,19.3,5.1,7.4,1.2,0.4,2.9,2.3,0.479,0.384,0.542,0.859,0.586,3.1,3.0,0.1,19.2,6.7
Bam Adebayo,2022-23,MIA,C,20.4,9.2,3.2,1.2,0.8,2.5,4.3,0.54,0.083,0.545,0.806,0.592,1.5,0.8,0.8,20.1,7.4
Andrew Wiggins,2022-23,GSW,SF,17.1,5.0,2.3,1.2,0.8,1.3,1.2,0.473,0.396,0.53,0.611,0.564,-0.5,-0.1,-0.4,14.7,2.3
Kristaps Porzingis,2022-23,WAS,C,23.2,8.4,2.7,0.9,1.5,2.1,5.4,0.498,0.385,0.559,0.851,0.627,4.3,3.8,0.5,23.1,7.7
Deandre Ayton,2022-23,PHO,C,18.0,10.0,1.7,0.6,0.8,1.8,2.3,0.589,0.292,0.597,0.76,0.617,0.9,0.9,0.0,19.9,6.2
CJ McCollum,2022-23,NOP,PG,20.9,4.4,5.7,0.9,0.5,2.4,2.4,0.437,0.389,0.469,0.769,0.541,0.8,1.5,-0.7,15.6,4.3
Michael Porter Jr.,2022-23,DEN,SF,17.4,5.5,1.0,0.6,0.5,1.1,1.5,0.487,0.414,0.579,0.8,0.621,0.2,2.0,-1.8,16.8,4.3
Desmond Bane,2022-23,MEM,SG,21.5,5.0,4.4,1.0,0.4,2.2,3.1,0.479,0.408,0.534,0.883,0.606,3.5,3.3,0.1,19.1,5.8
RJ Barrett,2022-23,NYK,SG,19.6,5.0,2.8,0.4,0.2,2.2,4.0,0.434,0.31,0.495,0.74,0.531,-3.1,-1.2,-1.9,12.9,2.2
Austin Reaves,2022-23,LAL,SG,13.0,3.0,3.4,0.5,0.3,1.5,3.6,0.529,0.398,0.631,0.864,0.687,0.7,0.6,0.1,14.9,5.4
Derrick White,2022-23,BOS,SG,12.4,3.6,3.9,0.7,0.9,1.2,2.0,0.462,0.381,0.548,0.875,0.604,2.4,1.1,1.3,15.4,7.4
Donovan Mitchell,2022-23,CLE,SG,28.3,4.3,4.4,1.5,0.4,2.6,4.7,0.484,0.386,0.566,0.867,0.614,6.3,5.6,0.6,22.9,8.9
De'Aaron Fox,2022-23,SAC,PG,25.0,4.2,6.1,1.1,0.3,2.5,4.7,0.512,0.324,0.584,0.78,0.599,2.5,3.4,-0.9,21.8,7.4
Domantas Sabonis,2022-23,SAC,C,19.1,12.3,7.3,0.8,0.5,2.9,4.1,0.615,0.373,0.639,0.742,0.668,5.8,4.1,1.8,23.5,12.6
Karl-Anthony Towns,2022-23,MIN,PF,20.8,8.1,4.8,0.7,0.6,3.0,4.1,0.495,0.366,0.576,0.874,0.618,3.0,2.1,0.9,18.8,2.7
Brandon Ingram,2022-23,NOP,SF,24.7,5.5,5.8,0.7,0.4,3.3,5.3,0.484,0.39,0.507,0.882,0.582,1.7,2.2,-0.4,19.2,3.5
Pascal Siakam,2022-23,TOR,PF,24.2,7.8,5.8,0.9,0.5,2.4,5.2,0.48,0.324,0.523,0.774,0.565,3.1,3.3,-0.1,20.3,7.8
Fred VanVleet,2022-23,TOR,PG,19.3,4.1,7.2,1.8,0.6,2.0,3.7,0.393,0.342,0.455,0.898,0.54,2.5,2.0,0.5,17.0,6.5
Draymond Green,2022-23,GSW,PF,8.5,7.2,6.8,1.0,0.8,2.8,1.1,0.527,0.305,0.612,0.713,0.592,0.8,-1.8,2.6,12.2,4.7
Brook Lopez,2022-23,MIL,C,15.9,6.7,1.3,0.5,2.5,1.4,1.9,0.531,0.374,0.637,0.784,0.63,2.1,0.8,1.3,18.4,8.0
Mikal Bridges,2022-23,2TM,SG,20.1,4.4,3.3,1.1,0.7,1.5,3.8,0.468,0.382,0.514,0.895,0.587,1.7,1.5,0.2,16.8,7.5
Aaron Gordon,2022-23,DEN,PF,16.3,6.6,3.0,0.8,0.8,1.4,2.8,0.564,0.347,0.628,0.608,0.617,2.1,2.4,-0.3,19.5,6.8
Tyrese Maxey,2022-23,PHI,SG,20.3,2.9,3.5,0.8,0.1,1.3,3.0,0.481,0.434,0.513,0.845,0.605,0.6,1.9,-1.2,17.0,5.4
Darius Garland,2022-23,CLE,PG,21.6,2.7,7.8,1.2,0.1,2.9,4.0,0.462,0.41,0.492,0.863,0.587,2.4,3.2,-0.7,18.8,7.6
Jalen Brunson,2022-23,NYK,PG,24.0,3.5,6.2,0.9,0.2,2.1,4.8,0.491,0.416,0.519,0.829,0.597,3.9,4.4,-0.5,21.2,8.7
Franz Wagner,2022-23,ORL,SF,18.6,4.1,3.5,1.0,0.2,2.1,3.4,0.485,0.361,0.544,0.842,0.589,-0.1,0.4,-0.5,15.9,5.4
Alperen Sengun,2022-23,HOU,C,14.8,9.0,3.9,0.9,0.9,2.6,2.7,0.553,0.333,0.57,0.715,0.599,1.4,1.1,0.4,19.7,5.2
Josh Giddey,2022-23,OKC,PF,16.6,7.9,6.2,0.8,0.4,2.8,1.4,0.482,0.325,0.524,0.731,0.533,1.2,1.5,-0.3,17.1,4.0
Bennedict Mathurin,2022-23,IND,SG,16.7,4.1,1.5,0.6,0.2,1.9,4.8,0.434,0.323,0.488,0.828,0.566,-3.7,-1.2,-2.5,13.1,1.8
Keegan Murray,2022-23,SAC,SF,12.2,4.6,1.2,0.8,0.5,0.8,0.8,0.453,0.411,0.527,0.765,0.597,-0.6,0.4,-1.0,12.3,4.3
Immanuel Quickley,2022-23,NYK,SG,14.9,4.2,3.4,1.0,0.2,1.2,2.5,0.448,0.37,0.521,0.819,0.578,1.7,1.3,0.4,16.3,6.7
Cam Thomas,2022-23,BRK,SG,10.6,1.7,1.4,0.4,0.1,1.1,2.6,0.441,0.383,0.464,0.868,0.567,-2.7,-0.7,-2.0,14.7,1.0
LeBron James,2023-24,LAL,PF,25.7,7.3,8.3,1.3,0.5,3.5,4.3,0.54,0.41,0.592,0.75,0.63,6.5,5.5,0.9,23.7,8.5
Kevin Durant,2023-24,PHO,PF,27.1,6.6,5.0,0.9,1.2,3.3,4.8,0.523,0.413,0.567,0.856,0.626,4.0,4.0,0.1,21.2,8.3
Stephen Curry,2023-24,GSW,PG,26.4,4.5,5.1,0.7,0.4,2.8,4.0,0.45,0.408,0.515,0.923,0.616,5.2,6.3,-1.1,20.6,7.2
Nikola Jokić,2023-24,DEN,C,26.4,12.4,9.0,1.4,0.9,3.0,4.5,0.583,0.359,0.626,0.817,0.65,13.2,9.0,4.2,31.0,17.0
Giannis Antetokounmpo,2023-24,MIL,PF,30.4,11.5,6.5,1.2,1.1,3.4,7.0,0.611,0.274,0.645,0.657,0.649,9.0,6.7,2.4,29.9,13.2
Joel Embiid,2023-24,PHI,C,34.7,11.0,5.6,1.2,1.7,3.8,10.2,0.529,0.388,0.556,0.883,0.644,11.6,8.5,3.1,34.1,7.5
Kawhi Leonard,2023-24,LAC,SF,23.7,6.1,3.6,1.6,0.9,1.8,3.7,0.525,0.417,0.569,0.885,0.626,5.5,4.8,0.6,23.2,8.9
James Harden,2023-24,LAC,PG,16.6,5.1,8.5,1.1,0.8,2.6,4.2,0.428,0.381,0.497,0.878,0.612,4.1,3.8,0.3,18.6,8.4
Russell Westbrook,2023-24,LAC,PG,11.1,5.0,4.5,1.1,0.3,2.1,1.6,0.454,0.273,0.509,0.688,0.514,0.5,-0.2,0.7,16.2,2.1
Jayson Tatum,2023-24,BOS,PF,26.9,8.1,4.9,1.0,0.6,2.5,5.6,0.471,0.376,0.542,0.833,0.604,5.1,4.5,0.6,22.3,10.4
Luka Dončić,2023-24,DAL,PG,33.9,9.2,9.8,1.4,0.5,4.0,6.8,0.487,0.382,0.573,0.786,0.617,9.9,8.3,1.7,28.1,12.0
Anthony Davis,2023-24,LAL,C,24.7,12.6,3.5,1.2,2.3,2.1,5.5,0.556,0.271,0.582,0.816,0.621,5.1,3.5,1.7,25.8,11.8
Devin Booker,2023-24,PHO,PG,27.1,4.5,6.9,0.9,0.4,2.6,6.0,0.492,0.364,0.552,0.886,0.611,3.0,4.0,-1.0,21.9,9.2
Damian Lillard,2023-24,MIL,PG,24.3,4.4,7.0,1.0,0.2,2.6,6.5,0.424,0.354,0.49,0.92,0.59,2.1,3.4,-1.3,19.6,7.7
Jimmy Butler,2023-24,MIA,PF,20.8,5.3,5.0,1.3,0.3,1.7,6.6,0.499,0.414,0.519,0.858,0.626,4.6,3.9,0.7,22.0,9.1
Kyrie Irving,2023-24,DAL,SG,25.6,5.0,5.2,1.3,0.5,1.8,3.3,0.497,0.411,0.548,0.905,0.608,4.9,4.8,0.1,21.9,6.9
Paul George,2023-24,LAC,PF,22.6,5.2,3.5,1.5,0.5,2.1,3.6,0.471,0.413,0.523,0.907,0.613,3.2,2.9,0.2,19.3,7.3
Chris Paul,2023-24,GSW,PG,9.2,3.9,6.8,1.2,0.1,1.3,0.7,0.441,0.371,0.498,0.827,0.544,1.0,-0.2,1.2,14.7,4.3
Shai Gilgeous-Alexander,2023-24,OKC,PG,30.1,5.5,6.2,2.0,0.9,2.2,7.6,0.535,0.353,0.576,0.874,0.636,9.0,6.7,2.3,29.3,14.6
Ja Morant,2023-24,MEM,PG,25.1,5.6,8.1,0.8,0.6,3.0,5.8,0.471,0.275,0.555,0.813,0.57,3.1,2.7,0.4,20.6,0.8
Zion Williamson,2023-24,NOP,PF,22.9,5.8,5.0,1.1,0.7,2.8,5.0,0.57,0.333,0.574,0.702,0.61,3.8,3.3,0.6,22.8,7.5
LaMelo Ball,2023-24,CHO,PG,23.9,5.1,8.0,1.8,0.2,3.8,4.1,0.433,0.355,0.5,0.865,0.561,3.3,3.8,-0.5,20.8,1.1
Anthony Edwards,2023-24,MIN,SG,25.9,5.4,5.1,1.3,0.5,3.1,5.4,0.461,0.357,0.515,0.836,0.575,3.3,2.7,0.5,19.7,7.5
Tyrese Haliburton,2023-24,IND,PG,20.1,3.9,10.9,1.2,0.7,2.3,2.8,0.477,0.364,0.595,0.855,0.605,6.9,7.3,-0.4,23.3,9.0
Cade Cunningham,2023-24,DET,PG,22.7,4.3,7.5,0.9,0.4,3.4,3.8,0.449,0.355,0.487,0.869,0.546,0.3,2.0,-1.6,17.1,1.8
Jalen Green,2023-24,HOU,SG,19.6,5.2,3.5,0.8,0.3,2.3,3.5,0.423,0.332,0.498,0.804,0.541,-0.5,0.4,-0.9,14.7,3.1
Scottie Barnes,2023-24,TOR,SG,19.9,8.2,6.1,1.3,1.5,2.8,3.3,0.475,0.341,0.536,0.781,0.566,3.7,2.9,0.8,19.5,4.3
Victor Wembanyama,2023-24,SAS,C,21.4,10.6,3.9,1.2,3.6,3.7,4.1,0.465,0.325,0.534,0.796,0.565,5.2,1.9,3.3,23.1,3.7
Chet Holmgren,2023-24,OKC,C,16.5,7.9,2.4,0.6,2.3,1.6,2.7,0.53,0.37,0.623,0.793,0.632,3.4,1.8,1.5,20.4,8.9
Klay Thompson,2023-24,GSW,SF,17.9,3.3,2.3,0.6,0.5,1.5,1.6,0.432,0.387,0.503,0.927,0.576,-0.4,1.1,-1.5,13.9,3.6
Bradley Beal,2023-24,PHO,SG,18.2,4.4,5.0,1.0,0.5,2.5,2.1,0.513,0.43,0.552,0.813,0.607,0.4,0.9,-0.6,16.3,3.9
DeMar DeRozan,2023-24,CHI,SF,24.0,4.3,5.3,1.1,0.6,1.7,6.6,0.48,0.333,0.509,0.853,0.584,1.8,2.1,-0.3,19.7,9.2
Mike Conley,2023-24,MIN,PG,11.4,2.9,5.9,1.2,0.2,1.3,1.3,0.457,0.442,0.481,0.911,0.627,3.4,2.0,1.4,15.8,8.2
Julius Randle,2023-24,NYK,PF,24.0,9.2,5.0,0.5,0.3,3.5,5.1,0.472,0.311,0.539,0.781,0.569,1.9,2.2,-0.3,18.9,3.8
Jaylen Brown,2023-24,BOS,SF,23.0,5.5,3.6,1.2,0.5,2.4,3.0,0.499,0.354,0.57,0.703,0.58,0.7,0.9,-0.1,18.6,5.9
Jrue Holiday,2023-24,BOS,PG,12.5,5.4,4.8,0.9,0.8,1.8,0.9,0.48,0.429,0.526,0.833,0.597,2.1,1.0,1.1,14.4,6.3
Bam Adebayo,2023-24,MIA,C,19.3,10.4,3.9,1.1,0.9,2.3,4.1,0.521,0.357,0.528,0.755,0.576,2.4,0.8,1.7,19.8,7.2
Andrew Wiggins,2023-24,GSW,SF,13.2,4.5,1.7,0.6,0.6,1.2,2.0,0.453,0.358,0.498,0.751,0.544,-2.5,-1.4,-1.2,12.7,2.8
Kristaps Porzingis,2023-24,BOS,C,20.1,7.2,2.0,0.7,1.9,1.6,4.5,0.516,0.375,0.606,0.858,0.647,5.1,3.5,1.6,23.2,7.9
Deandre Ayton,2023-24,POR,C,16.7,11.1,1.6,1.0,0.8,1.8,1.2,0.57,0.1,0.576,0.823,0.587,0.3,0.5,-0.2,18.9,3.9
CJ McCollum,2023-24,NOP,PG,20.0,4.3,4.6,0.9,0.6,1.7,1.7,0.459,0.429,0.492,0.827,0.592,3.1,3.3,-0.3,17.9,5.9
Michael Porter Jr.,2023-24,DEN,SF,16.7,7.0,1.5,0.5,0.7,1.1,1.1,0.484,0.397,0.575,0.836,0.601,0.1,1.2,-1.2,15.5,6.2
Desmond Bane,2023-24,MEM,SG,23.7,4.4,5.5,1.0,0.5,2.7,3.3,0.464,0.381,0.536,0.87,0.589,2.8,3.1,-0.3,18.5,3.1
RJ Barrett,2023-24,2TM,SG,20.2,5.4,3.3,0.5,0.4,2.2,3.6,0.495,0.36,0.549,0.715,0.58,-0.8,0.7,-1.5,16.4,2.9
Austin Reaves,2023-24,LAL,SG,15.9,4.3,5.5,0.8,0.3,2.1,2.8,0.486,0.367,0.583,0.853,0.613,0.4,0.9,-0.4,15.5,5.9
Derrick White,2023-24,BOS,SG,15.2,4.2,5.2,1.0,1.2,1.5,1.9,0.461,0.396,0.555,0.901,0.611,3.8,2.4,1.4,16.9,8.5
Donovan Mitchell,2023-24,CLE,SG,26.6,5.1,6.1,1.8,0.5,2.8,5.0,0.462,0.368,0.539,0.865,0.595,5.8,4.6,1.2,22.1,6.4
De'Aaron Fox,2023-24,SAC,PG,26.6,4.6,5.6,2.0,0.4,2.6,4.2,0.465,0.369,0.522,0.738,0.567,2.7,2.6,0.1,20.1,6.5
Domantas Sabonis,2023-24,SAC,C,19.4,13.7,8.2,0.9,0.6,3.3,3.6,0.594,0.379,0.613,0.704,0.637,6.5,4.0,2.4,23.2,12.6
Karl-Anthony Towns,2023-24,MIN,PF,21.8,8.3,3.0,0.7,0.7,2.9,4.1,0.504,0.416,0.55,0.873,0.625,2.5,1.6,0.9,18.8,6.3
Brandon Ingram,2023-24,NOP,SF,20.8,5.1,5.7,0.8,0.6,2.5,3.8,0.492,0.355,0.534,0.801,0.578,1.2,1.4,-0.3,18.2,5.1
Pascal Siakam,2023-24,2TM,PF,21.7,7.1,4.3,0.8,0.3,1.8,3.6,0.536,0.346,0.581,0.732,0.601,1.9,2.6,-0.7,19.7,6.9
Fred VanVleet,2023-24,HOU,PG,17.4,3.8,8.1,1.4,0.8,1.7,2.7,0.416,0.387,0.454,0.86,0.568,3.4,2.6,0.8,16.7,8.4
Draymond Green,2023-24,GSW,PF,8.6,7.2,6.0,1.0,0.9,2.5,1.0,0.497,0.395,0.551,0.73,0.587,2.4,-0.6,3.0,14.5,3.6
Brook Lopez,2023-24,MIL,C,12.5,5.2,1.6,0.5,2.4,1.0,1.4,0.485,0.366,0.621,0.821,0.608,1.0,0.2,0.8,14.8,5.9
Mikal Bridges,2023-24,BRK,SF,19.6,4.5,3.6,1.0,0.4,2.0,3.1,0.436,0.372,0.49,0.814,0.56,-0.4,0.7,-1.0,14.9,4.2
Aaron Gordon,2023-24,DEN,PF,13.9,6.5,3.5,0.8,0.6,1.4,2.4,0.556,0.29,0.619,0.658,0.607,1.3,1.2,0.1,16.8,7.1
Tyrese Maxey,2023-24,PHI,PG,25.9,3.7,6.2,1.0,0.5,1.7,4.7,0.45,0.373,0.501,0.868,0.573,3.1,4.1,-1.0,19.8,8.1
Darius Garland,2023-24,CLE,PG,18.0,2.7,6.5,1.3,0.1,3.1,2.6,0.446,0.371,0.501,0.834,0.56,-1.0,0.2,-1.2,14.5,2.7
Jalen Brunson,2023-24,NYK,PG,28.7,3.6,6.7,0.9,0.2,2.4,5.5,0.479,0.401,0.516,0.847,0.592,5.8,6.3,-0.4,23.4,11.2
Franz Wagner,2023-24,ORL,SF,19.7,5.3,3.7,1.1,0.4,1.9,3.8,0.482,0.281,0.57,0.85,0.575,1.2,0.9,0.3,17.6,6.4
Alperen Sengun,2023-24,HOU,C,21.1,9.3,5.0,1.2,0.7,2.6,3.9,0.537,0.297,0.567,0.693,0.585,4.9,3.1,1.7,22.0,6.9
Josh Giddey,2023-24,OKC,SG,12.3,6.4,4.8,0.6,0.6,2.1,1.3,0.475,0.337,0.53,0.806,0.547,1.5,1.0,0.4,16.6,4.3
Bennedict Mathurin,2023-24,IND,SF,14.5,4.0,2.0,0.6,0.2,1.6,3.1,0.446,0.374,0.481,0.821,0.562,-3.4,-1.2,-2.3,13.0,1.4
Keegan Murray,2023-24,SAC,SF,15.2,5.5,1.7,1.0,0.8,0.8,1.3,0.454,0.358,0.56,0.831,0.569,-0.9,-0.4,-0.5,13.3,5.2
Immanuel Quickley,2023-24,2TM,SG,17.0,3.8,4.9,0.7,0.1,1.5,3.1,0.434,0.395,0.471,0.853,0.577,1.3,2.2,-0.9,16.7,4.7
Cam Thomas,2023-24,BRK,SG,22.5,3.2,2.9,0.7,0.2,1.9,4.3,0.442,0.364,0.481,0.856,0.554,-1.2,0.7,-1.9,16.1,2.5
LeBron James,2024-25,LAL,SF,24.4,7.8,8.2,1.0,0.6,3.7,3.7,0.513,0.376,0.574,0.782,0.604,5.6,4.9,0.7,22.7,7.7
Kevin Durant,2024-25,PHO,PF,26.6,6.0,4.2,0.8,1.2,3.1,4.9,0.527,0.43,0.574,0.839,0.642,3.2,3.9,-0.7,21.2,5.2
Stephen Curry,2024-25,GSW,PG,24.5,4.4,6.0,1.1,0.4,2.9,4.0,0.448,0.397,0.534,0.933,0.618,6.3,6.4,0.0,21.5,7.9
Nikola Jokić,2024-25,DEN,C,29.6,12.7,10.2,1.8,0.6,3.3,5.2,0.576,0.417,0.627,0.8,0.663,13.3,9.9,3.3,32.0,16.4
Giannis Antetokounmpo,2024-25,MIL,PF,30.4,11.9,6.5,0.9,1.2,3.1,6.5,0.601,0.222,0.62,0.617,0.625,9.5,6.9,2.5,30.5,11.5
Joel Embiid,2024-25,PHI,C,23.8,8.2,4.5,0.7,0.9,3.3,7.8,0.444,0.299,0.492,0.882,0.58,3.5,3.7,-0.3,23.4,1.4
Kawhi Leonard,2024-25,LAC,SF,21.5,5.9,3.1,1.6,0.5,1.9,2.6,0.498,0.411,0.536,0.81,0.589,3.1,2.5,0.6,20.5,3.5
James Harden,2024-25,LAC,PG,22.8,5.8,8.7,1.5,0.7,4.3,6.4,0.41,0.352,0.472,0.874,0.582,4.3,3.5,0.8,20.0,8.3
Russell Westbrook,2024-25,DEN,PG,13.3,4.9,6.1,1.4,0.5,3.2,2.1,0.449,0.323,0.517,0.661,0.532,-1.1,-0.9,-0.2,14.3,1.9
Jayson Tatum,2024-25,BOS,PF,26.8,8.7,6.0,1.1,0.5,2.9,5.0,0.452,0.343,0.559,0.814,0.582,5.2,4.4,0.8,21.7,9.5
Luka Dončić,2024-25,2TM,PG,28.2,8.2,7.7,1.8,0.4,3.6,6.2,0.45,0.368,0.522,0.782,0.587,6.7,5.5,1.2,24.1,5.9
Anthony Davis,2024-25,2TM,PF,24.7,11.6,3.5,1.2,2.2,2.2,5.6,0.516,0.282,0.553,0.775,0.588,5.4,3.9,1.5,26.3,6.7
Devin Booker,2024-25,PHO,SG,25.6,4.1,7.1,0.9,0.2,2.9,5.8,0.461,0.332,0.542,0.894,0.589,0.4,2.8,-2.4,19.3,6.4
Damian Lillard,2024-25,MIL,PG,24.9,4.7,7.1,1.2,0.2,2.8,6.2,0.448,0.376,0.528,0.921,0.621,4.0,4.7,-0.6,21.3,7.6
Jimmy Butler,2024-25,2TM,SF,17.5,5.4,5.4,1.4,0.3,1.3,6.0,0.504,0.308,0.546,0.842,0.626,4.9,4.0,1.0,22.4,8.7
Kyrie Irving,2024-25,DAL,SG,24.7,4.8,4.6,1.3,0.5,2.2,3.9,0.473,0.401,0.517,0.916,0.594,3.4,3.9,-0.5,19.9,4.6
Paul George,2024-25,PHI,PF,16.2,5.3,4.3,1.8,0.5,2.6,1.9,0.43,0.358,0.493,0.814,0.543,-0.4,-0.5,0.1,14.5,1.0
Chris Paul,2024-25,SAS,PG,8.8,3.6,7.4,1.3,0.3,1.6,1.0,0.427,0.377,0.514,0.924,0.58,0.8,0.3,0.5,14.7,5.7
Shai Gilgeous-Alexander,2024-25,OKC,PG,32.7,5.0,6.4,1.7,1.0,2.4,7.9,0.519,0.375,0.571,0.898,0.637,11.5,8.9,2.6,30.7,16.7
Ja Morant,2024-25,MEM,PG,23.2,4.1,7.3,1.2,0.2,3.7,5.3,0.454,0.309,0.523,0.824,0.563,2.4,3.1,-0.7,19.3,3.5
Zion Williamson,2024-25,NOP,PF,24.6,7.2,5.3,1.2,0.9,3.0,5.3,0.567,0.231,0.576,0.656,0.6,7.0,5.9,1.0,27.3,2.5
LaMelo Ball,2024-25,CHO,PG,25.2,4.9,7.4,1.1,0.3,3.6,4.1,0.405,0.339,0.478,0.843,0.536,3.2,4.1,-0.9,19.1,2.0
Anthony Edwards,2024-25,MIN,SG,27.6,5.7,4.5,1.2,0.6,3.2,5.3,0.447,0.395,0.501,0.837,0.595,4.3,4.4,0.0,20.1,8.4
Tyrese Haliburton,2024-25,IND,PG,18.6,3.5,9.2,1.4,0.7,1.6,2.6,0.473,0.388,0.581,0.851,0.616,5.8,5.7,0.2,21.8,10.4
Cade Cunningham,2024-25,DET,PG,26.1,6.1,9.1,1.0,0.8,4.4,4.5,0.469,0.356,0.515,0.846,0.565,3.9,3.8,0.1,20.6,5.9
