Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
Pascal Siakam,2016-17,TOR,PF,4.2,3.4,0.3,0.5,0.8,0.6,0.4,0.502,0.143,0.515,0.688,0.523,-2.4,-3.0,0.7,11.5,1.6
Fred VanVleet,2016-17,TOR,PG,2.9,1.1,0.9,0.4,0.1,0.4,0.5,0.351,0.379,0.341,0.818,0.443,-2.1,-3.6,1.6,10.5,0.2
Draymond Green,2016-17,GSW,PF,10.2,7.9,7.0,2.0,1.4,2.4,2.0,0.418,0.308,0.494,0.709,0.522,4.9,1.0,3.9,16.5,8.2
Brook Lopez,2016-17,BRK,C,20.5,5.4,2.3,0.5,1.7,2.5,3.9,0.474,0.346,0.536,0.81,0.578,2.3,2.9,-0.6,20.4,4.9
Aaron Gordon,2016-17,ORL,SF,12.7,5.1,1.9,0.8,0.5,1.1,2.0,0.454,0.288,0.528,0.719,0.53,-1.0,-0.3,-0.7,14.5,3.7
LeBron James,2017-18,CLE,PF,27.5,8.6,9.1,1.4,0.9,4.2,4.7,0.542,0.367,0.603,0.731,0.621,8.7,7.3,1.4,28.6,14.0
Kevin Durant,2017-18,GSW,SF,26.4,6.8,5.4,0.7,1.8,3.0,5.3,0.516,0.419,0.565,0.889,0.64,7.3,6.7,0.6,26.0,10.4
Stephen Curry,2017-18,GSW,PG,26.4,5.1,6.1,1.6,0.2,3.0,5.5,0.495,0.423,0.595,0.921,0.675,7.7,7.8,0.0,28.2,9.1
Nikola Jokić,2017-18,DEN,C,18.5,10.7,6.1,1.2,0.8,2.8,3.5,0.499,0.396,0.538,0.85,0.603,6.9,5.3,1.6,24.4,10.7
Giannis Antetokounmpo,2017-18,MIL,PF,26.9,10.0,4.8,1.5,1.4,3.0,6.5,0.529,0.307,0.554,0.76,0.598,6.2,5.3,0.9,27.3,11.9
Joel Embiid,2017-18,PHI,C,22.9,11.0,3.2,0.6,1.8,3.7,5.7,0.483,0.308,0.527,0.769,0.573,3.3,2.0,1.3,22.9,6.2
Kawhi Leonard,2017-18,SAS,SF,16.2,4.7,2.3,2.0,1.0,1.8,3.4,0.468,0.314,0.539,0.816,0.572,10.1,5.2,4.9,26.0,0.9
James Harden,2017-18,HOU,SG,30.4,5.4,8.8,1.8,0.7,4.4,8.7,0.449,0.367,0.531,0.858,0.619,9.9,8.5,1.4,29.8,15.4
Russell Westbrook,2017-18,OKC,PG,25.4,10.1,10.3,1.8,0.3,4.8,5.2,0.449,0.298,0.485,0.737,0.524,6.3,4.8,1.5,24.7,10.1
Jayson Tatum,2017-18,BOS,SF,13.9,5.0,1.6,1.0,0.7,1.4,2.7,0.475,0.434,0.492,0.826,0.586,1.2,0.0,1.2,15.2,7.1
Anthony Davis,2017-18,NOP,PF,28.1,11.1,2.3,1.5,2.6,2.2,6.6,0.534,0.34,0.558,0.828,0.612,6.7,5.3,1.4,28.9,13.7
Devin Booker,2017-18,PHO,SG,24.9,4.5,4.7,0.9,0.3,3.6,5.4,0.432,0.383,0.46,0.878,0.561,0.9,2.9,-2.0,18.1,2.4
Damian Lillard,2017-18,POR,PG,26.9,4.5,6.6,1.1,0.4,2.8,6.8,0.439,0.361,0.501,0.916,0.594,7.2,7.0,0.3,25.2,12.6
Jimmy Butler,2017-18,MIN,SG,22.2,5.3,4.9,2.0,0.4,1.8,6.2,0.474,0.35,0.509,0.854,0.59,5.8,5.0,0.7,23.7,8.9
Kyrie Irving,2017-18,BOS,PG,24.4,3.8,5.1,1.1,0.3,2.3,3.9,0.491,0.408,0.541,0.889,0.61,7.3,6.4,0.9,25.0,8.9
Paul George,2017-18,OKC,SF,21.9,5.7,3.3,2.0,0.5,2.7,4.3,0.43,0.401,0.454,0.822,0.57,2.9,2.3,0.6,18.7,8.9
Chris Paul,2017-18,HOU,PG,18.6,5.4,7.9,1.7,0.2,2.2,3.5,0.46,0.38,0.532,0.919,0.604,7.1,5.2,1.8,24.4,10.2
Klay Thompson,2017-18,GSW,SG,20.0,3.8,2.5,0.8,0.5,1.8,1.1,0.488,0.44,0.525,0.837,0.598,-0.4,1.7,-2.1,16.0,4.9
Bradley Beal,2017-18,WAS,SG,22.6,4.4,4.5,1.2,0.4,2.6,3.6,0.46,0.375,0.507,0.791,0.564,2.2,2.9,-0.7,18.4,6.9
DeMar DeRozan,2017-18,TOR,SG,23.0,3.9,5.2,1.1,0.3,2.2,5.8,0.456,0.31,0.494,0.825,0.555,2.8,3.3,-0.6,21.0,9.6
Mike Conley,2017-18,MEM,PG,17.1,2.3,4.1,1.0,0.3,1.5,4.4,0.381,0.312,0.44,0.803,0.52,0.5,1.3,-0.8,15.4,0.6
Julius Randle,2017-18,LAL,C,16.1,8.0,2.6,0.5,0.5,2.6,3.7,0.558,0.222,0.575,0.718,0.606,0.6,0.6,0.0,19.9,6.6
Jaylen Brown,2017-18,BOS,SG,14.5,4.9,1.6,1.0,0.4,1.8,2.1,0.465,0.395,0.507,0.644,0.562,-0.5,-0.8,0.3,13.6,4.5
Jrue Holiday,2017-18,NOP,SG,19.0,4.5,6.0,1.5,0.8,2.6,2.3,0.494,0.337,0.557,0.786,0.57,1.6,1.3,0.3,17.8,7.1
Bam Adebayo,2017-18,MIA,C,6.9,5.5,1.5,0.5,0.6,1.0,1.9,0.512,0.0,0.523,0.721,0.57,-0.4,-1.1,0.7,15.7,4.2
